name,version,compile_path,compile_command,run_path,run_file
dedup,original,parsec-2.1/pkgs/kernels/dedup,make rtm,parsec-2.1/pkgs/kernels/dedup,measure.run
dedup,optimized,parsec-2.1/pkgs/kernels/dedup_opt,make rtm,parsec-2.1/pkgs/kernels/dedup_opt,measure.run
avltree,original,avl_tree,make rtm-naive,avl_tree,avl_0.0_naive.run
avltree,optimized,avl_tree,make rtm-el,avl_tree,avl_0.0_el.run
histo,original,parboil/histo,make rtm_naive,parboil/histo,default.run
histo,optimized,parboil/histo_opt,make rtm_txn,parboil/histo_opt,default.run
ua,original,NPB3.3-OMP-C/UA,make rtm,NPB3.3-OMP-C/UA,default.run
ua,optimized,NPB3.3-OMP-C/UA_opt,make rtm,NPB3.3-OMP-C/UA_opt,default.run
vacation,original,stamp-0.9.10/vacation,make rtm,stamp-0.9.10/vacation,high.run
vacation,optimized,stamp-0.9.10/vacation_opt,make rtm,stamp-0.9.10/vacation_opt,high.run
LevelDB,original,leveldb-tsx/origin,make,leveldb-tsx/origin,default.run
LevelDB,optimized,leveldb-tsx/opt,make,leveldb-tsx/opt,default.run
SSCA2,original,SSCA2v2.2,make origin,SSCA2v2.2,default.run
SSCA2,optimized,SSCA2v2.2,make opt,SSCA2v2.2,opt.run
netdedup,original,parsec-3.0/pkgs/netapps/netdedup,make build,parsec-3.0/pkgs/netapps/netdedup,default.run
netdedup,optimized,parsec-3.0/pkgs/netapps/netdedup_opt,make build,parsec-3.0/pkgs/netapps/netdedup_opt,default.run
linkedlist,original,synchrobench,make rtm,synchrobench,run/linkedlist.run
linkedlist,optimized,synchrobench,make rtm,synchrobench,run/linkedlist-locknest.run
